AnalysisDate,Time Period,MMWRyear,MMWRweek,Weekending,RaceEthnicity,Sex,AgeGroup,Deaths (weighted),COVID19 (weighted),Deaths (unweighted),COVID19 (unweighted),Average number of deaths (weighted),Average number of deaths (unweighted),Number above average (weighted),Percent above average (weighted),Number above average (unweighted),Percent above average (unweighted),Footnote,Geography
01/16/2022,2015-2019,2016,16,04/23/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,604,0,604,0,617,617,,,,,,United States
01/16/2022,2015-2019,2016,17,04/30/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,637,0,637,0,616,616,,,,,,United States
01/16/2022,2015-2019,2016,18,05/07/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,640,0,640,0,619,619,,,,,,United States
01/16/2022,2015-2019,2016,19,05/14/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,637,0,637,0,617,617,,,,,,United States
01/16/2022,2015-2019,2016,20,05/21/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,636,0,636,0,614,614,,,,,,United States
01/16/2022,2015-2019,2016,21,05/28/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,599,0,599,0,607,607,,,,,,United States
01/16/2022,2015-2019,2016,22,06/04/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,652,0,652,0,628,628,,,,,,United States
01/16/2022,2015-2019,2016,23,06/11/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,652,0,652,0,627,627,,,,,,United States
01/16/2022,2015-2019,2016,24,06/18/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,657,0,657,0,645,645,,,,,,United States
01/16/2022,2015-2019,2016,25,06/25/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,619,0,619,0,635,635,,,,,,United States
01/16/2022,2015-2019,2016,26,07/02/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,661,0,661,0,623,623,,,,,,United States
01/16/2022,2015-2019,2016,27,07/09/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,572,0,572,0,605,605,,,,,,United States
01/16/2022,2015-2019,2016,28,07/16/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,648,0,648,0,621,621,,,,,,United States
01/16/2022,2015-2019,2016,29,07/23/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,674,0,674,0,630,630,,,,,,United States
01/16/2022,2015-2019,2016,30,07/30/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,640,0,640,0,621,621,,,,,,United States
01/16/2022,2015-2019,2016,31,08/06/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,610,0,610,0,596,596,,,,,,United States
01/16/2022,2015-2019,2016,32,08/13/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,645,0,645,0,607,607,,,,,,United States
01/16/2022,2015-2019,2016,33,08/20/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,646,0,646,0,613,613,,,,,,United States
01/16/2022,2015-2019,2016,34,08/27/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,671,0,671,0,616,616,,,,,,United States
01/16/2022,2015-2019,2016,35,09/03/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,570,0,570,0,583,583,,,,,,United States
01/16/2022,2015-2019,2016,36,09/10/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,630,0,630,0,609,609,,,,,,United States
01/16/2022,2015-2019,2016,37,09/17/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,658,0,658,0,606,606,,,,,,United States
01/16/2022,2015-2019,2016,38,09/24/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,601,0,601,0,621,621,,,,,,United States
01/16/2022,2015-2019,2016,39,10/01/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,588,588,,,,,,United States
01/16/2022,2015-2019,2016,40,10/08/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,643,0,643,0,603,603,,,,,,United States
01/16/2022,2015-2019,2016,41,10/15/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,612,0,612,0,584,584,,,,,,United States
01/16/2022,2015-2019,2016,42,10/22/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,592,592,,,,,,United States
01/16/2022,2015-2019,2016,43,10/29/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,630,0,630,0,581,581,,,,,,United States
01/16/2022,2015-2019,2016,44,11/05/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,609,0,609,0,586,586,,,,,,United States
01/16/2022,2015-2019,2016,45,11/12/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,591,0,591,0,582,582,,,,,,United States
01/16/2022,2015-2019,2016,46,11/19/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,559,0,559,0,586,586,,,,,,United States
01/16/2022,2015-2019,2016,47,11/26/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,591,591,,,,,,United States
01/16/2022,2015-2019,2016,48,12/03/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,661,0,661,0,593,593,,,,,,United States
01/16/2022,2015-2019,2016,49,12/10/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,586,0,586,0,580,580,,,,,,United States
01/16/2022,2015-2019,2016,50,12/17/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,618,0,618,0,596,596,,,,,,United States
01/16/2022,2015-2019,2016,51,12/24/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,611,0,611,0,605,605,,,,,,United States
01/16/2022,2015-2019,2016,52,12/31/2016,All Race/Ethnicity Groups,All Sexes,0-14 Years,586,0,586,0,592,592,,,,,,United States
01/16/2022,2015-2019,2017,1,01/07/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,614,0,614,0,615,615,,,,,,United States
01/16/2022,2015-2019,2017,2,01/14/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,601,0,601,0,605,605,,,,,,United States
01/16/2022,2015-2019,2017,3,01/21/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,581,0,581,0,600,600,,,,,,United States
01/16/2022,2015-2019,2017,4,01/28/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,570,0,570,0,603,603,,,,,,United States
01/16/2022,2015-2019,2017,5,02/04/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,618,0,618,0,613,613,,,,,,United States
01/16/2022,2015-2019,2017,6,02/11/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,612,0,612,0,628,628,,,,,,United States
01/16/2022,2015-2019,2017,7,02/18/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,626,626,,,,,,United States
01/16/2022,2015-2019,2017,8,02/25/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,584,0,584,0,624,624,,,,,,United States
01/16/2022,2015-2019,2017,9,03/04/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,621,0,621,0,616,616,,,,,,United States
01/16/2022,2015-2019,2017,10,03/11/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,606,0,606,0,610,610,,,,,,United States
01/16/2022,2015-2019,2017,11,03/18/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,622,622,,,,,,United States
01/16/2022,2015-2019,2017,12,03/25/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,656,0,656,0,636,636,,,,,,United States
01/16/2022,2015-2019,2017,13,04/01/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,624,0,624,0,614,614,,,,,,United States
01/16/2022,2015-2019,2017,14,04/08/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,627,0,627,0,597,597,,,,,,United States
01/16/2022,2015-2019,2017,15,04/15/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,611,611,,,,,,United States
01/16/2022,2015-2019,2017,16,04/22/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,624,0,624,0,617,617,,,,,,United States
01/16/2022,2015-2019,2017,17,04/29/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,621,0,621,0,616,616,,,,,,United States
01/16/2022,2015-2019,2017,18,05/06/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,646,0,646,0,619,619,,,,,,United States
01/16/2022,2015-2019,2017,19,05/13/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,585,0,585,0,617,617,,,,,,United States
01/16/2022,2015-2019,2017,20,05/20/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,618,0,618,0,614,614,,,,,,United States
01/16/2022,2015-2019,2017,21,05/27/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,622,0,622,0,607,607,,,,,,United States
01/16/2022,2015-2019,2017,22,06/03/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,615,0,615,0,628,628,,,,,,United States
01/16/2022,2015-2019,2017,23,06/10/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,637,0,637,0,627,627,,,,,,United States
01/16/2022,2015-2019,2017,24,06/17/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,629,0,629,0,645,645,,,,,,United States
01/16/2022,2015-2019,2017,25,06/24/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,707,0,707,0,635,635,,,,,,United States
01/16/2022,2015-2019,2017,26,07/01/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,599,0,599,0,623,623,,,,,,United States
01/16/2022,2015-2019,2017,27,07/08/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,585,0,585,0,605,605,,,,,,United States
01/16/2022,2015-2019,2017,28,07/15/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,646,0,646,0,621,621,,,,,,United States
01/16/2022,2015-2019,2017,29,07/22/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,614,0,614,0,630,630,,,,,,United States
01/16/2022,2015-2019,2017,30,07/29/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,630,0,630,0,621,621,,,,,,United States
01/16/2022,2015-2019,2017,31,08/05/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,595,0,595,0,596,596,,,,,,United States
01/16/2022,2015-2019,2017,32,08/12/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,609,0,609,0,607,607,,,,,,United States
01/16/2022,2015-2019,2017,33,08/19/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,602,0,602,0,613,613,,,,,,United States
01/16/2022,2015-2019,2017,34,08/26/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,626,0,626,0,616,616,,,,,,United States
01/16/2022,2015-2019,2017,35,09/02/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,555,0,555,0,583,583,,,,,,United States
01/16/2022,2015-2019,2017,36,09/09/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,600,0,600,0,609,609,,,,,,United States
01/16/2022,2015-2019,2017,37,09/16/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,625,0,625,0,606,606,,,,,,United States
01/16/2022,2015-2019,2017,38,09/23/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,618,0,618,0,621,621,,,,,,United States
01/16/2022,2015-2019,2017,39,09/30/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,588,588,,,,,,United States
01/16/2022,2015-2019,2017,40,10/07/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,623,0,623,0,603,603,,,,,,United States
01/16/2022,2015-2019,2017,41,10/14/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,554,0,554,0,584,584,,,,,,United States
01/16/2022,2015-2019,2017,42,10/21/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,581,0,581,0,592,592,,,,,,United States
01/16/2022,2015-2019,2017,43,10/28/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,608,0,608,0,581,581,,,,,,United States
01/16/2022,2015-2019,2017,44,11/04/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,610,0,610,0,586,586,,,,,,United States
01/16/2022,2015-2019,2017,45,11/11/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,604,0,604,0,582,582,,,,,,United States
01/16/2022,2015-2019,2017,46,11/18/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,603,0,603,0,586,586,,,,,,United States
01/16/2022,2015-2019,2017,47,11/25/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,604,0,604,0,591,591,,,,,,United States
01/16/2022,2015-2019,2017,48,12/02/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,583,0,583,0,593,593,,,,,,United States
01/16/2022,2015-2019,2017,49,12/09/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,563,0,563,0,580,580,,,,,,United States
01/16/2022,2015-2019,2017,50,12/16/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,625,0,625,0,596,596,,,,,,United States
01/16/2022,2015-2019,2017,51,12/23/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,613,0,613,0,605,605,,,,,,United States
01/16/2022,2015-2019,2017,52,12/30/2017,All Race/Ethnicity Groups,All Sexes,0-14 Years,621,0,621,0,592,592,,,,,,United States
01/16/2022,2015-2019,2018,1,01/06/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,634,0,634,0,615,615,,,,,,United States
01/16/2022,2015-2019,2018,2,01/13/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,602,0,602,0,605,605,,,,,,United States
01/16/2022,2015-2019,2018,3,01/20/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,612,0,612,0,600,600,,,,,,United States
01/16/2022,2015-2019,2018,4,01/27/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,669,0,669,0,603,603,,,,,,United States
01/16/2022,2015-2019,2018,5,02/03/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,636,0,636,0,613,613,,,,,,United States
01/16/2022,2015-2019,2018,6,02/10/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,594,0,594,0,628,628,,,,,,United States
01/16/2022,2015-2019,2018,7,02/17/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,631,0,631,0,626,626,,,,,,United States
01/16/2022,2015-2019,2018,8,02/24/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,609,0,609,0,624,624,,,,,,United States
01/16/2022,2015-2019,2018,9,03/03/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,580,0,580,0,616,616,,,,,,United States
01/16/2022,2015-2019,2018,10,03/10/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,620,0,620,0,610,610,,,,,,United States
01/16/2022,2015-2019,2018,11,03/17/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,587,0,587,0,622,622,,,,,,United States
01/16/2022,2015-2019,2018,12,03/24/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,620,0,620,0,636,636,,,,,,United States
01/16/2022,2015-2019,2018,13,03/31/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,584,0,584,0,614,614,,,,,,United States
01/16/2022,2015-2019,2018,14,04/07/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,571,0,571,0,597,597,,,,,,United States
01/16/2022,2015-2019,2018,15,04/14/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,553,0,553,0,611,611,,,,,,United States
01/16/2022,2015-2019,2018,16,04/21/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,622,0,622,0,617,617,,,,,,United States
01/16/2022,2015-2019,2018,17,04/28/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,586,0,586,0,616,616,,,,,,United States
01/16/2022,2015-2019,2018,18,05/05/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,579,0,579,0,619,619,,,,,,United States
01/16/2022,2015-2019,2018,19,05/12/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,646,0,646,0,617,617,,,,,,United States
01/16/2022,2015-2019,2018,20,05/19/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,562,0,562,0,614,614,,,,,,United States
01/16/2022,2015-2019,2018,21,05/26/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,580,0,580,0,607,607,,,,,,United States
01/16/2022,2015-2019,2018,22,06/02/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,619,0,619,0,628,628,,,,,,United States
01/16/2022,2015-2019,2018,23,06/09/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,581,0,581,0,627,627,,,,,,United States
01/16/2022,2015-2019,2018,24,06/16/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,576,0,576,0,645,645,,,,,,United States
01/16/2022,2015-2019,2018,25,06/23/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,602,0,602,0,635,635,,,,,,United States
01/16/2022,2015-2019,2018,26,06/30/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,566,0,566,0,623,623,,,,,,United States
01/16/2022,2015-2019,2018,27,07/07/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,671,0,671,0,605,605,,,,,,United States
01/16/2022,2015-2019,2018,28,07/14/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,595,0,595,0,621,621,,,,,,United States
01/16/2022,2015-2019,2018,29,07/21/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,596,0,596,0,630,630,,,,,,United States
01/16/2022,2015-2019,2018,30,07/28/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,604,0,604,0,621,621,,,,,,United States
01/16/2022,2015-2019,2018,31,08/04/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,559,0,559,0,596,596,,,,,,United States
01/16/2022,2015-2019,2018,32,08/11/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,575,0,575,0,607,607,,,,,,United States
01/16/2022,2015-2019,2018,33,08/18/2018,All Race/Ethnicity Groups,All Sexes,0-14 Years,570,0,570,0,613,613,,,,,,United States
